epoch,price
1619159457.507399,40590.20000
1619159457.776040,40590.20000
1619159458.454980,40595.00000
1619159458.635806,40594.70000
1619159458.745549,40590.20000
1619159459.005309,40590.20000
1619159459.271122,40592.20000
1619159459.295948,40590.20000
1619159459.515791,40591.80000
1619159459.756062,40590.30000
1619159459.982023,40590.30000
1619159460.667341,40590.30000
1619159460.905202,40590.20000
1619159462.004965,40576.60000
1619159464.593808,40580.00000
1619159464.803264,40580.00000
1619159465.093927,40580.00000
1619159465.200109,40580.00000
1619159465.204289,40580.00000
1619159465.239638,40580.00000
1619159465.927295,40580.00000
1619159466.074085,40580.00000
1619159466.181957,40580.00000
1619159466.233486,40580.00000
1619159466.526895,40580.00000
1619159466.649328,40580.00000
1619159467.273372,40580.00000
1619159467.586465,40580.00000
1619159467.600411,40580.00000
1619159468.764448,40580.00000
1619159468.781736,40580.00000
1619159468.801250,40580.00000
1619159469.146091,40580.00000
1619159469.227182,40579.90000
1619159469.244827,40580.00000
1619159469.931557,40580.00000
1619159469.970285,40580.00000
1619159470.048773,40580.00000
1619159470.566046,40579.90000
1619159470.568548,40579.90000
1619159470.713994,40580.00000
1619159470.936495,40580.00000
1619159471.187120,40580.00000
1619159471.287652,40580.00000
1619159471.315489,40580.00000
1619159471.514209,40580.00000
1619159471.614086,40580.00000
1619159471.686404,40580.00000
1619159471.763564,40580.00000
1619159471.835222,40580.00000
1619159471.882447,40580.00000
1619159472.004795,40580.00000
1619159472.011304,40580.00000
1619159472.012516,40580.00000
1619159472.013712,40590.00000
1619159472.015131,40599.90000
1619159472.016690,40599.90000
1619159472.018250,40599.90000
1619159472.019480,40600.00000
1619159472.126280,40600.00000
1619159472.216966,40600.00000
1619159472.406687,40600.00000
1619159472.456187,40600.00000
1619159472.484896,40600.00000
1619159472.946623,40600.00000
1619159473.048147,40588.50000
1619159473.144593,40599.70000
1619159474.298914,40590.30000
1619159474.300272,40590.20000
1619159474.512119,40590.30000
1619159474.578117,40590.20000
1619159475.148954,40590.30000
1619159475.224424,40590.20000
1619159475.226445,40582.30000
1619159475.642091,40588.20000
1619159475.780419,40588.20000
1619159476.712864,40582.40000
1619159477.283816,40582.40000
1619159480.020802,40599.90000
1619159480.022510,40600.00000
1619159480.672692,40584.10000
1619159480.674455,40584.10000
1619159480.675905,40584.10000
1619159480.881761,40584.30000
1619159480.883178,40584.10000
1619159480.884307,40584.00000
1619159480.886299,40584.00000
1619159481.082682,40584.20000
1619159481.084020,40584.20000
1619159481.085072,40584.20000
1619159482.377901,40600.00000
1619159483.374748,40600.00000
1619159483.566388,40584.70000
1619159488.182213,40598.00000
1619159488.312344,40598.00000
1619159488.530371,40585.70000
1619159490.162338,40598.00000
1619159493.158794,40600.00000
1619159494.464713,40599.80000
1619159495.266222,40599.80000
1619159495.381728,40591.80000
1619159495.950900,40599.90000
1619159496.350928,40599.90000
1619159497.369878,40599.80000
1619159498.352921,40599.80000
1619159498.354529,40599.80000
1619159498.355747,40599.80000
1619159498.386433,40599.80000
1619159498.597922,40599.80000
1619159499.363858,40599.90000
1619159499.553284,40599.90000
1619159499.598866,40599.80000
1619159499.802071,40597.70000
1619159500.377311,40591.90000
1619159500.579167,40591.90000
1619159500.799635,40592.00000
1619159501.033152,40592.00000
1619159501.509768,40592.00000
1619159502.230145,40591.90000
1619159502.232509,40585.50000
1619159502.383117,40590.70000
1619159504.312259,40599.90000
1619159505.973851,40588.10000
1619159505.976485,40588.10000
1619159505.978604,40588.10000
1619159507.139828,40600.00000
1619159508.915241,40599.90000
1619159508.922205,40599.90000
1619159508.944522,40600.00000
1619159508.985771,40599.90000
1619159508.987108,40599.90000
1619159509.026561,40600.00000
1619159510.274212,40599.90000
1619159510.275542,40599.90000
1619159510.803145,40599.90000
1619159510.804802,40599.90000
1619159510.806336,40599.90000
1619159510.807778,40599.90000
1619159510.808809,40599.90000
1619159511.134571,40600.00000
1619159512.826017,40600.00000
1619159513.497426,40600.00000
1619159514.628016,40600.00000
1619159514.873706,40599.90000
1619159515.838634,40600.00000
1619159515.884562,40600.00000
1619159516.448302,40600.00000
1619159516.511717,40600.00000
1619159517.141799,40600.00000
1619159517.571462,40600.00000
1619159518.192775,40600.00000
1619159518.488354,40600.00000
1619159520.103207,40600.00000
1619159520.831984,40599.90000
1619159520.924339,40600.00000
1619159521.158732,40600.00000
1619159521.872110,40600.00000
1619159522.240902,40600.00000
1619159523.340803,40600.00000
1619159523.564218,40600.00000
1619159524.251377,40600.00000
1619159524.656953,40599.90000
1619159524.845366,40600.00000
1619159524.990091,40600.00000
1619159526.549044,40600.00000
1619159526.559267,40600.00000
1619159526.707246,40600.00000
1619159526.718661,40600.00000
1619159526.747741,40600.00000
1619159527.794444,40600.00000
1619159527.795693,40600.00000
1619159527.796677,40600.00000
1619159527.799200,40600.00000
1619159527.801280,40600.00000
1619159528.514414,40599.90000
1619159528.896881,40600.00000
1619159529.587529,40600.00000
1619159530.686443,40600.00000
1619159530.797668,40600.00000
1619159530.830272,40600.00000
1619159530.831847,40600.00000
1619159530.880212,40600.00000
1619159531.279163,40600.00000
1619159532.155169,40600.00000
1619159532.879104,40600.00000
1619159533.230781,40600.00000
1619159533.255649,40600.00000
1619159534.633998,40600.00000
1619159534.884164,40600.00000
1619159535.567205,40600.00000
1619159536.238017,40600.00000
1619159536.296518,40600.00000
1619159539.071550,40600.10000
1619159539.709156,40600.00000
1619159541.582248,40600.00000
1619159541.583562,40600.00000
1619159541.585110,40600.00000
1619159541.680986,40600.00000
1619159542.141715,40600.10000
1619159542.631834,40600.00000
1619159542.909711,40600.00000
1619159543.021518,40600.00000
1619159543.333866,40600.10000
1619159546.386808,40600.10000
1619159546.410216,40600.10000
1619159546.841193,40600.10000
1619159547.630335,40600.10000
1619159547.631778,40600.10000
1619159548.688667,40600.10000
1619159550.453030,40600.10000
1619159551.339113,40600.00000
1619159551.340921,40600.00000
1619159551.342419,40600.00000
1619159552.372040,40599.90000
1619159552.427761,40599.90000
1619159552.836802,40600.00000
1619159553.139641,40599.90000
1619159553.430992,40600.00000
1619159553.803185,40599.90000
1619159554.069025,40586.80000
1619159554.962195,40584.10000
1619159554.963585,40580.00000
1619159555.097190,40582.90000
1619159555.192926,40576.90000
1619159555.225576,40576.90000
1619159555.280839,40576.90000
1619159555.356728,40576.90000
