epoch,price
1620691254.570545,3253.84000
1620691261.330979,3253.84000
1620691261.364995,3253.95000
1620691261.371444,3253.95000
1620691261.467946,3254.64000
1620691261.653744,3254.95000
1620691269.104435,3255.06000
1620691269.651859,3255.05000
1620691272.193060,3251.74000
1620691285.841713,3254.14000
1620691290.440018,3257.30000
1620691291.314701,3257.62000
1620691294.189641,3258.28000
1620691294.725298,3259.61000
1620691297.204666,3261.71000
1620691299.100939,3264.27000
1620691301.990207,3266.58000
1620691302.120695,3267.34000
1620691304.963686,3269.25000
1620691317.486510,3265.38000
1620691318.117433,3266.33000
1620691322.330868,3267.50000
1620691325.428602,3267.48000
1620691330.839038,3266.28000
1620691334.287880,3264.32000
1620691334.289088,3264.12000
1620691334.442092,3262.08000
1620691335.020719,3261.68000
1620691344.002118,3259.04000
1620691345.804407,3259.52000
1620691354.787415,3258.86000
1620691354.789257,3255.75000
1620691354.791606,3255.70000
1620691364.630246,3252.33000
1620691364.631787,3250.48000
1620691366.914088,3250.48000
1620691372.381626,3249.60000
1620691380.921803,3250.27000
1620691391.946337,3248.27000
1620691392.037806,3248.11000
1620691395.542939,3247.81000
1620691396.579607,3247.43000
1620691397.072790,3246.76000
1620691397.074125,3245.80000
1620691398.120304,3245.80000
1620691399.077191,3243.26000
1620691404.500663,3243.13000
1620691405.548264,3241.71000
1620691406.762355,3239.77000
1620691411.946185,3238.92000
1620691412.313853,3238.91000
1620691412.315721,3238.91000
1620691412.317147,3238.91000
1620691412.320804,3238.91000
1620691412.323701,3238.91000
1620691412.326593,3238.91000
1620691416.536556,3236.42000
1620691417.576478,3236.43000
1620691425.016743,3236.32000
1620691425.190227,3237.26000
1620691425.191619,3237.46000
1620691427.453134,3238.97000
1620691432.306370,3235.47000
1620691435.548106,3236.31000
1620691439.493386,3238.99000
1620691442.231862,3236.34000
1620691442.289533,3236.34000
1620691443.636914,3236.33000
1620691444.046527,3238.95000
1620691446.355122,3239.99000
1620691458.223330,3239.94000
1620691458.224657,3239.94000
1620691460.638743,3239.62000
1620691463.787825,3239.05000
1620691465.118606,3239.03000
1620691469.694905,3238.93000
1620691472.466499,3236.34000
1620691472.480404,3236.34000
1620691473.412934,3236.33000
1620691473.414214,3236.33000
1620691473.416276,3236.32000
1620691478.100625,3235.12000
1620691478.102226,3235.11000
1620691478.104289,3235.11000
1620691478.105512,3235.00000
1620691478.846856,3234.01000
1620691478.848772,3234.00000
1620691478.850529,3234.00000
1620691479.173979,3234.02000
1620691479.176302,3234.01000
1620691479.177915,3233.95000
1620691481.521628,3233.23000
1620691481.523388,3233.22000
1620691481.525489,3233.22000
1620691481.895698,3233.24000
1620691482.028149,3233.23000
1620691482.103906,3233.24000
1620691482.365827,3233.24000
1620691482.367157,3234.71000
1620691489.722573,3232.51000
1620691501.232022,3232.44000
1620691501.235380,3232.00000
1620691501.325286,3230.24000
